Reward_ID,Item_ID,Min_Count,Max_Count,Probability,Is_Fixed
09001,1601,500,500,1,1
09002,1602,50,50,1,1
09003,10101,0,2,0.4,0
09004,10102,0,2,0.3,0
09005,10103,0,2,0.2,0
09006,10104,0,2,0.1,0
09007,10105,0,2,0.05,0
09008,10106,0,1,0.005,0
09009,0,0,0,0,0
09010,0,0,0,0,0
09011,0,0,0,0,0
09012,0,0,0,0,0
09013,0,0,0,0,0
09014,0,0,0,0,0
09015,0,0,0,0,0
09016,0,0,0,0,0
09017,0,0,0,0,0
09018,0,0,0,0,0
09019,0,0,0,0,0
09020,0,0,0,0,0
09021,0,0,0,0,0
09022,0,0,0,0,0
09023,0,0,0,0,0
09024,0,0,0,0,0
09025,0,0,0,0,0
09026,0,0,0,0,0
09027,0,0,0,0,0
09028,0,0,0,0,0
09029,0,0,0,0,0
09030,0,0,0,0,0
09031,0,0,0,0,0
09032,0,0,0,0,0
09033,0,0,0,0,0
09034,0,0,0,0,0
09035,0,0,0,0,0
09036,0,0,0,0,0
09037,0,0,0,0,0
09038,0,0,0,0,0
09039,0,0,0,0,0
09040,0,0,0,0,0
09041,0,0,0,0,0
09042,0,0,0,0,0
09043,0,0,0,0,0
09044,0,0,0,0,0
09045,0,0,0,0,0
09046,0,0,0,0,0
09047,0,0,0,0,0
09048,0,0,0,0,0
09049,0,0,0,0,0
09050,0,0,0,0,0
09051,0,0,0,0,0
09052,0,0,0,0,0
09053,0,0,0,0,0
09054,0,0,0,0,0
09055,0,0,0,0,0
09056,0,0,0,0,0
09057,0,0,0,0,0
09058,0,0,0,0,0
09059,0,0,0,0,0
09060,0,0,0,0,0
09061,0,0,0,0,0
09062,0,0,0,0,0
09063,0,0,0,0,0
09064,0,0,0,0,0
09065,0,0,0,0,0
09066,0,0,0,0,0
09067,0,0,0,0,0
09068,0,0,0,0,0
09069,0,0,0,0,0
09070,0,0,0,0,0
09071,0,0,0,0,0
09072,0,0,0,0,0
09073,0,0,0,0,0
09074,0,0,0,0,0
09075,0,0,0,0,0
09076,0,0,0,0,0
09077,0,0,0,0,0
09078,0,0,0,0,0
09079,0,0,0,0,0
09080,0,0,0,0,0
09081,0,0,0,0,0
09082,0,0,0,0,0
09083,0,0,0,0,0
09084,0,0,0,0,0
09085,0,0,0,0,0
09086,0,0,0,0,0
09087,0,0,0,0,0
09088,0,0,0,0,0
09089,0,0,0,0,0
09090,0,0,0,0,0
09091,0,0,0,0,0
09092,0,0,0,0,0
09093,0,0,0,0,0
09094,0,0,0,0,0
09095,0,0,0,0,0
09096,0,0,0,0,0
09097,0,0,0,0,0
09098,0,0,0,0,0
09099,0,0,0,0,0
09100,10101,3,6,0.7,0
09101,10102,2,5,0.2,0
09102,10103,2,4,0.07,0
09103,10104,2,3,0.025,0
09104,10105,1,2,0.005,0
09105,10106,1,3,1,1
09106,10207,1,2,1,1
09107,10208,1,2,1,1
09108,10209,1,2,1,1
09109,10210,1,2,1,1
09110,10211,1,2,1,1
09111,10313,1,2,1,1
09112,10114,1,2,1,1
09113,1601,4000,6000,1,1
09114,0,0,0,0,0
09115,0,0,0,0,0
09116,0,0,0,0,0
09117,0,0,0,0,0
09118,0,0,0,0,0
09119,0,0,0,0,0
09120,0,0,0,0,0
09121,0,0,0,0,0
09122,0,0,0,0,0
09123,0,0,0,0,0
09124,0,0,0,0,0
09125,0,0,0,0,0
09126,0,0,0,0,0
09127,0,0,0,0,0
09128,0,0,0,0,0
09129,0,0,0,0,0
09130,0,0,0,0,0
09131,0,0,0,0,0
09132,0,0,0,0,0
09133,0,0,0,0,0
09134,0,0,0,0,0
09135,0,0,0,0,0
09136,0,0,0,0,0
09137,0,0,0,0,0
09138,0,0,0,0,0
09139,0,0,0,0,0
09140,0,0,0,0,0
09141,0,0,0,0,0
09142,0,0,0,0,0
09143,0,0,0,0,0
09144,0,0,0,0,0
09145,0,0,0,0,0
09146,0,0,0,0,0
09147,0,0,0,0,0
09148,0,0,0,0,0
09149,0,0,0,0,0
09150,0,0,0,0,0
09151,0,0,0,0,0
09152,0,0,0,0,0
09153,0,0,0,0,0
09154,0,0,0,0,0
09155,0,0,0,0,0
09156,0,0,0,0,0
09157,0,0,0,0,0
09158,0,0,0,0,0
09159,0,0,0,0,0
09160,0,0,0,0,0
09161,0,0,0,0,0
09162,0,0,0,0,0
09163,0,0,0,0,0
