Reward_Group_ID,Reward_1_ID,Reward_2_ID,Reward_3_ID,Reward_4_ID,Reward_5_ID
17001,0,0,0,0,0
17002,0,0,0,0,0
17003,0,0,0,0,0
17004,0,0,0,0,0
17005,0,0,0,0,0
17006,0,0,0,0,0
17007,0,0,0,0,0
17008,0,0,0,0,0
17009,0,0,0,0,0
17010,0,0,0,0,0
17011,0,0,0,0,0
17012,0,0,0,0,0
17013,0,0,0,0,0
17014,0,0,0,0,0
17015,0,0,0,0,0
17016,0,0,0,0,0
17017,0,0,0,0,0
17018,0,0,0,0,0
17019,0,0,0,0,0
17020,0,0,0,0,0
17021,0,0,0,0,0
17022,0,0,0,0,0
17023,0,0,0,0,0
17024,0,0,0,0,0
17025,0,0,0,0,0
17026,0,0,0,0,0
17027,0,0,0,0,0
17028,0,0,0,0,0
17029,0,0,0,0,0
17030,0,0,0,0,0
17031,0,0,0,0,0
17032,0,0,0,0,0
17033,0,0,0,0,0
17034,0,0,0,0,0
17035,0,0,0,0,0
17036,0,0,0,0,0
17037,0,0,0,0,0
17038,0,0,0,0,0
17039,0,0,0,0,0
17040,0,0,0,0,0
17041,0,0,0,0,0
17042,0,0,0,0,0
17043,0,0,0,0,0
17044,0,0,0,0,0
17045,0,0,0,0,0
17046,0,0,0,0,0
17047,0,0,0,0,0
17048,0,0,0,0,0
17049,0,0,0,0,0
17050,0,0,0,0,0
17051,0,0,0,0,0
17052,0,0,0,0,0
17053,0,0,0,0,0
17054,0,0,0,0,0
17055,0,0,0,0,0
17056,0,0,0,0,0
17057,0,0,0,0,0
17058,0,0,0,0,0
17059,0,0,0,0,0
17060,0,0,0,0,0
17061,0,0,0,0,0
17062,0,0,0,0,0
17063,0,0,0,0,0
17064,0,0,0,0,0
17065,0,0,0,0,0
17066,0,0,0,0,0
17067,0,0,0,0,0
17068,0,0,0,0,0
17069,0,0,0,0,0
17070,0,0,0,0,0
17071,0,0,0,0,0
17072,0,0,0,0,0
17073,0,0,0,0,0
17074,0,0,0,0,0
17075,0,0,0,0,0
17076,0,0,0,0,0
17077,0,0,0,0,0
17078,0,0,0,0,0
17079,0,0,0,0,0
17080,0,0,0,0,0
17081,0,0,0,0,0
17082,0,0,0,0,0
17083,0,0,0,0,0
17084,0,0,0,0,0
17085,0,0,0,0,0
17086,0,0,0,0,0
17087,0,0,0,0,0
17088,0,0,0,0,0
17089,0,0,0,0,0
17090,09100,09101,09102,09103,09104
17091,09105,N/A,N/A,N/A,N/A
17092,09106,N/A,N/A,N/A,N/A
17093,09107,N/A,N/A,N/A,N/A
17094,09108,N/A,N/A,N/A,N/A
17095,09109,N/A,N/A,N/A,N/A
17096,09110,N/A,N/A,N/A,N/A
17097,09111,N/A,N/A,N/A,N/A
17098,09112,N/A,N/A,N/A,N/A
17099,09113,N/A,N/A,N/A,N/A
17100,0,0,0,0,0
17101,0,0,0,0,0
17102,0,0,0,0,0
17103,0,0,0,0,0
17104,0,0,0,0,0
17105,0,0,0,0,0
17106,0,0,0,0,0
