Dungeon_ID,Floor_Index,Boss_ID,Boss_Level_ID,Attack_Count,Attack_Period,Stun_Damage,Stun_Gauge,Stun_Duration,Time_Limit,Reward_Group_ID,Is_Implemented
24001,1,031001,2208,2,10,20,100,3,30,17036,1
24002,2,033017,2208,2,5,25,100,3,30,17037,1
24003,3,034025,2209,3,5,30,100,4,30,17038,1
24004,4,035030,2209,3,5,35,100,4,40,17039,1
24005,5,031001,2209,4,5,40,100,4,40,17040,1
24006,6,033017,2210,4,5,45,100,5,40,17041,1
24007,7,034025,2210,5,5,50,100,5,50,17042,1
24008,8,035030,2210,5,5,55,100,5,50,17043,1
24009,9,031001,2210,6,5,60,100,6,50,17044,1
24010,10,033017,2210,6,5,65,100,6,60,17045,1
24011,11,0,0,0,0,0,0,0,0,0,0
24012,12,0,0,0,0,0,0,0,0,0,0
24013,13,0,0,0,0,0,0,0,0,0,0
24014,14,0,0,0,0,0,0,0,0,0,0
24015,15,0,0,0,0,0,0,0,0,0,0
24016,16,0,0,0,0,0,0,0,0,0,0
24017,17,0,0,0,0,0,0,0,0,0,0
24018,18,0,0,0,0,0,0,0,0,0,0
24019,19,0,0,0,0,0,0,0,0,0,0
24020,20,0,0,0,0,0,0,0,0,0,0
24021,21,0,0,0,0,0,0,0,0,0,0
24022,22,0,0,0,0,0,0,0,0,0,0
24023,23,0,0,0,0,0,0,0,0,0,0
24024,24,0,0,0,0,0,0,0,0,0,0
24025,25,0,0,0,0,0,0,0,0,0,0
24026,26,0,0,0,0,0,0,0,0,0,0
24027,27,0,0,0,0,0,0,0,0,0,0
24028,28,0,0,0,0,0,0,0,0,0,0
24029,29,0,0,0,0,0,0,0,0,0,0
24030,30,0,0,0,0,0,0,0,0,0,0
24031,31,0,0,0,0,0,0,0,0,0,0
24032,32,0,0,0,0,0,0,0,0,0,0
24033,33,0,0,0,0,0,0,0,0,0,0
24034,34,0,0,0,0,0,0,0,0,0,0
24035,35,0,0,0,0,0,0,0,0,0,0
24036,36,0,0,0,0,0,0,0,0,0,0
24037,37,0,0,0,0,0,0,0,0,0,0
24038,38,0,0,0,0,0,0,0,0,0,0
24039,39,0,0,0,0,0,0,0,0,0,0
24040,40,0,0,0,0,0,0,0,0,0,0
24041,41,0,0,0,0,0,0,0,0,0,0
24042,42,0,0,0,0,0,0,0,0,0,0
24043,43,0,0,0,0,0,0,0,0,0,0
24044,44,0,0,0,0,0,0,0,0,0,0
24045,45,0,0,0,0,0,0,0,0,0,0
24046,46,0,0,0,0,0,0,0,0,0,0
24047,47,0,0,0,0,0,0,0,0,0,0
24048,48,0,0,0,0,0,0,0,0,0,0
24049,49,0,0,0,0,0,0,0,0,0,0
24050,50,0,0,0,0,0,0,0,0,0,0
24051,51,0,0,0,0,0,0,0,0,0,0
24052,52,0,0,0,0,0,0,0,0,0,0
24053,53,0,0,0,0,0,0,0,0,0,0
24054,54,0,0,0,0,0,0,0,0,0,0
24055,55,0,0,0,0,0,0,0,0,0,0
24056,56,0,0,0,0,0,0,0,0,0,0
24057,57,0,0,0,0,0,0,0,0,0,0
24058,58,0,0,0,0,0,0,0,0,0,0
24059,59,0,0,0,0,0,0,0,0,0,0
24060,60,0,0,0,0,0,0,0,0,0,0
24061,61,0,0,0,0,0,0,0,0,0,0
24062,62,0,0,0,0,0,0,0,0,0,0
24063,63,0,0,0,0,0,0,0,0,0,0
24064,64,0,0,0,0,0,0,0,0,0,0
24065,65,0,0,0,0,0,0,0,0,0,0
24066,66,0,0,0,0,0,0,0,0,0,0
24067,67,0,0,0,0,0,0,0,0,0,0
24068,68,0,0,0,0,0,0,0,0,0,0
24069,69,0,0,0,0,0,0,0,0,0,0
24070,70,0,0,0,0,0,0,0,0,0,0
24071,71,0,0,0,0,0,0,0,0,0,0
24072,72,0,0,0,0,0,0,0,0,0,0
24073,73,0,0,0,0,0,0,0,0,0,0
24074,74,0,0,0,0,0,0,0,0,0,0
24075,75,0,0,0,0,0,0,0,0,0,0
24076,76,0,0,0,0,0,0,0,0,0,0
24077,77,0,0,0,0,0,0,0,0,0,0
24078,78,0,0,0,0,0,0,0,0,0,0
24079,79,0,0,0,0,0,0,0,0,0,0
24080,80,0,0,0,0,0,0,0,0,0,0
24081,81,0,0,0,0,0,0,0,0,0,0
24082,82,0,0,0,0,0,0,0,0,0,0
24083,83,0,0,0,0,0,0,0,0,0,0
24084,84,0,0,0,0,0,0,0,0,0,0
24085,85,0,0,0,0,0,0,0,0,0,0
24086,86,0,0,0,0,0,0,0,0,0,0
24087,87,0,0,0,0,0,0,0,0,0,0
24088,88,0,0,0,0,0,0,0,0,0,0
24089,89,0,0,0,0,0,0,0,0,0,0
24090,90,0,0,0,0,0,0,0,0,0,0
24091,91,0,0,0,0,0,0,0,0,0,0
24092,92,0,0,0,0,0,0,0,0,0,0
24093,93,0,0,0,0,0,0,0,0,0,0
24094,94,0,0,0,0,0,0,0,0,0,0
24095,95,0,0,0,0,0,0,0,0,0,0
24096,96,0,0,0,0,0,0,0,0,0,0
24097,97,0,0,0,0,0,0,0,0,0,0
24098,98,0,0,0,0,0,0,0,0,0,0
24099,99,0,0,0,0,0,0,0,0,0,0
24100,100,0,0,0,0,0,0,0,0,0,0
