Reward_Group_ID,Reward_1_ID,Reward_2_ID,Reward_3_ID,Reward_4_ID,Reward_5_ID
17001,09001,09002,09003,09004,09005
17002,09006,09007,09008,09009,09010
17003,09011,09012,09013,09014,09015
17004,09016,09017,09018,09019,09020
17005,09021,09022,09023,09024,09025
17006,09032,09062,09092,0,09026
17007,09033,09063,09092,0,09026
17008,09034,09064,09092,0,09026
17009,09035,09065,09092,0,09026
17010,09036,09066,09092,09031,09026
17011,09037,09067,09092,0,09026
17012,09038,09068,09092,0,09027
17013,09039,09069,09092,0,09027
17014,09040,09070,09092,0,09027
17015,09041,09071,09092,09031,09027
17016,09042,09072,09093,0,09027
17017,09043,09073,09093,0,09027
17018,09044,09074,09093,0,09028
17019,09045,09075,09093,0,09028
17020,09046,09076,09093,09031,09028
17021,09047,09077,09093,0,09028
17022,09048,09078,09093,0,09028
17023,09049,09079,09093,0,09028
17024,09050,09080,09093,0,09029
17025,09051,09081,09093,09031,09029
17026,09052,09082,09094,0,09029
17027,09053,09083,09094,0,09029
17028,09054,09084,09094,0,09029
17029,09055,09085,09094,0,09029
17030,09056,09086,09094,09031,09030
17031,09057,09087,09094,0,09030
17032,09058,09088,09094,0,09030
17033,09059,09089,09094,0,09030
17034,09060,09090,09094,0,09030
17035,09061,09091,09094,09031,09030
17036,09252,09253,09254,0,0
17037,09255,09256,09257,0,0
17038,09258,09259,09260,0,0
17039,09261,09262,09263,0,0
17040,09264,09265,09266,0,0
17041,09267,09268,09269,0,0
17042,09270,09271,09272,0,0
17043,09273,09274,09275,0,0
17044,09276,09277,09278,0,0
17045,09279,09280,09281,0,0
17046,0,0,0,0,0
17047,0,0,0,0,0
17048,0,0,0,0,0
17049,0,0,0,0,0
17050,0,0,0,0,0
17051,0,0,0,0,0
17052,0,0,0,0,0
17053,0,0,0,0,0
17054,0,0,0,0,0
17055,0,0,0,0,0
17056,0,0,0,0,0
17057,0,0,0,0,0
17058,0,0,0,0,0
17059,0,0,0,0,0
17060,0,0,0,0,0
17061,0,0,0,0,0
17062,0,0,0,0,0
17063,0,0,0,0,0
17064,0,0,0,0,0
17065,0,0,0,0,0
17066,0,0,0,0,0
17067,0,0,0,0,0
17068,0,0,0,0,0
17069,0,0,0,0,0
17070,0,0,0,0,0
17071,0,0,0,0,0
17072,0,0,0,0,0
17073,0,0,0,0,0
17074,0,0,0,0,0
17075,0,0,0,0,0
17076,0,0,0,0,0
17077,0,0,0,0,0
17078,0,0,0,0,0
17079,0,0,0,0,0
17080,0,0,0,0,0
17081,0,0,0,0,0
17082,0,0,0,0,0
17083,0,0,0,0,0
17084,0,0,0,0,0
17085,0,0,0,0,0
17086,0,0,0,0,0
17087,0,0,0,0,0
17088,0,0,0,0,0
17089,0,0,0,0,0
17090,09100,09101,09102,09103,09104
17091,09105,0,0,0,0
17092,09106,0,0,0,0
17093,09107,0,0,0,0
17094,09108,0,0,0,0
17095,09109,0,0,0,0
17096,09110,0,0,0,0
17097,09111,0,0,0,0
17098,09112,0,0,0,0
17099,09113,0,0,0,0
17100,09164,0,0,0,0
17101,09165,0,0,0,0
17102,09166,0,0,0,0
17103,09167,0,0,0,0
17104,09168,0,0,0,0
17105,09169,0,0,0,0
17106,09170,0,0,0,0
17107,09171,0,0,0,0
17108,09172,0,0,0,0
17109,09173,0,0,0,0
17110,09174,0,0,0,0
17111,09175,0,0,0,0
17112,09176,0,0,0,0
17113,09177,0,0,0,0
17114,09178,0,0,0,0
17115,09179,0,0,0,0
17116,09180,0,0,0,0
17117,09181,0,0,0,0
17118,09182,0,0,0,0
17119,09183,0,0,0,0
17120,09184,0,0,0,0
17121,09185,0,0,0,0
17122,09186,0,0,0,0
17123,09187,0,0,0,0
17124,09188,09231,09233,09234,0
17125,09189,09231,09233,09234,0
17126,09190,09231,09233,09234,0
17127,09191,09231,09233,09234,0
17128,09192,09228,09233,09234,0
17129,09193,09228,09233,09234,0
17130,09194,09228,09233,09234,0
17131,09195,09228,09233,09234,0
17132,09196,09230,09233,09234,0
17133,09197,09230,09233,09234,0
17134,09198,09230,09233,09234,0
17135,09199,09230,09233,09234,0
17136,09200,09229,09233,09234,0
17137,09201,09229,09233,09234,0
17138,09202,09229,09233,09234,0
17139,09203,09229,09233,09234,0
17140,09204,09232,09233,09234,0
17141,09205,09232,09233,09234,0
17142,09206,09232,09233,09234,0
17143,09207,09232,09233,09234,0
17144,09208,09231,09233,09235,0
17145,09209,09231,09233,09235,0
17146,09210,09231,09233,09235,0
17147,09211,09231,09233,09235,0
17148,09212,09228,09233,09235,0
17149,09213,09228,09233,09235,0
17150,09214,09228,09233,09235,0
17151,09215,09228,09233,09235,0
17152,09216,09230,09233,09235,0
17153,09217,09230,09233,09235,0
17154,09218,09230,09233,09235,0
17155,09219,09230,09233,09235,0
17156,09220,09229,09233,09235,0
17157,09221,09229,09233,09235,0
17158,09222,09229,09233,09235,0
17159,09223,09229,09233,09235,0
17160,09224,09232,09233,09235,0
17161,09225,09232,09233,09235,0
17162,09226,09232,09233,09235,0
17163,09227,09232,09233,09235,0
17164,09236,09241,09250,0,0
17165,09237,09242,09251,0,0
17166,09238,09243,09245,09250,0
17167,09239,09244,09246,09251,0
17168,09240,09245,09247,09234,0
17169,09241,09246,0,0,0
