Monster_ID,Monster_Name_ID,Genre,Mon_Level_1_ID,Mon_Level_2_ID,Mon_Level_3_ID,Mon_Level_4_ID,Mon_Level_5_ID,Mon_Level_6_ID,Mon_Level_7_ID,Mon_Level_8_ID,Mon_Level_9_ID,Mon_Level_10_ID,Effect_ID,Path_ID,Description_ID,Is_Boss
031001,80040071,1,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840081,80050106,1
031002,80040072,1,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840037,80050107,0
031003,80040073,1,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840049,80050108,0
031004,80040074,1,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840052,80050109,0
031005,80040075,1,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840021,80050110,0
031006,80040076,1,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840055,80050111,0
031007,80040077,1,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840046,80050112,0
032008,80040078,2,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840012,80050113,0
032009,80040079,2,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840043,80050114,0
032010,80040080,2,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840006,80050115,0
032011,80040081,2,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840025,80050116,0
032012,80040082,2,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840061,80050117,0
032013,80040083,2,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840064,80050118,0
032014,80040084,2,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840015,80050119,0
033015,80040085,3,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840028,80050120,0
033016,80040086,3,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840094,80050121,0
033017,80040087,3,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840040,80050122,1
033018,80040088,3,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840031,80050123,0
033019,80040089,3,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840073,80050124,0
033020,80040090,3,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840034,80050125,0
033021,80040091,3,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840009,80050126,0
034022,80040092,4,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840093,80050127,0
034023,80040093,4,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840079,80050128,0
034024,80040094,4,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840024,80050129,0
034025,80040095,4,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840066,80050130,1
034026,80040096,4,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840018,80050131,0
034027,80040097,4,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840092,80050132,0
034028,80040098,4,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840080,80050133,0
035029,80040099,5,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840087,80050134,0
035030,80040100,5,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840088,80050135,1
035031,80040101,5,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840065,80050136,0
035032,80040102,5,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840070,80050137,0
035033,80040103,5,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840084,80050138,0
035034,80040104,5,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840058,80050139,0
035035,80040105,5,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,05001,840089,80050140,0
